time,open,high,low,close,"ETHUSD, BITSTAMP: Open","ETHUSD, BITSTAMP: High","ETHUSD, BITSTAMP: Low","ETHUSD, BITSTAMP: Close",HV
1614038400,1778.33,1783.22,1356,1577.83,1778.36,1782.06,1352.89,1578.14,103.25583743504158
1614124800,1577.84,1714,1500.28,1625.3,1578.21,1714.77,1500,1625.51,101.34115956709837
1614211200,1625.27,1672.49,1458.5,1482.62,1623.76,1672.91,1458.85,1480.16,106.20885237145919
1614297600,1482.05,1564.11,1400.01,1445.18,1480.21,1563.83,1400,1447.06,100.68088809113942
1614384000,1445.09,1526.82,1420,1460.57,1445.19,1527.7,1427.43,1459.03,97.90487512814505
1614470400,1460.49,1469.96,1292.76,1422.02,1457.78,1469.74,1293.42,1421.77,97.76714222603795
1614556800,1421.8,1574.28,1412.61,1571.82,1424.29,1573.31,1413.44,1570.83,103.5077162172226
1614643200,1571.87,1605.89,1455.86,1488.34,1572.12,1604.99,1455,1488.8,103.87078484734948
1614729600,1488.34,1657.91,1476.72,1567.86,1487.03,1658,1478.61,1568,104.22930027284156
1614816000,1568.4,1625,1504.06,1539.69,1568.11,1625.39,1504.16,1538.23,99.21039168645777
1614902400,1539.53,1551.19,1442.32,1528.82,1540.71,1549.29,1441.25,1527.29,93.06896637164213
1614988800,1528.82,1673.02,1512.45,1651.83,1530.03,1672.98,1513.72,1651.16,95.8431459765196
1615075200,1651.75,1735,1631.07,1728.22,1652.87,1735,1630.39,1727.3,93.6178660224056
1615161600,1727.95,1843.99,1664.08,1834.58,1729.6,1842.52,1665.76,1835.06,95.36814723838
1615248000,1834.88,1872.26,1800,1871.99,1836.88,1872.78,1798.57,1872.78,94.34910273859191
1615334400,1871.93,1879,1756.29,1795.37,1873.23,1879.69,1758.79,1793.51,91.57695106911416
1615420800,1795.55,1847,1725,1827.04,1794.46,1848.47,1723.84,1826.23,91.6933738459486
1615507200,1826.53,1841.96,1721.15,1767.79,1827.37,1842.17,1720.55,1767.48,92.24537738090307
1615593600,1766.76,1944,1728.3,1921.61,1767.76,1943.32,1728.25,1920.98,96.22222427482717
1615680000,1921.76,1931.97,1836.61,1848.9,1922.22,1931.6,1837,1848.37,96.63469251916298
1615766400,1848.56,1893.75,1734.87,1795.07,1847.52,1890,1732,1793.21,97.04340379344758
1615852800,1794.08,1819.2,1706.25,1806.03,1795.47,1820,1711.89,1805.65,97.03109362838302
1615939200,1805.7,1841.13,1742,1824.74,1807.71,1840.98,1741.08,1822.3,96.97088402737063
